name,@lat,@lon
Eloy's New Mexican Restaurant,35.0962910,-106.5501181
La Finca Bowls,35.0858811,-106.6439815
Ruben's Grill Mexican Restaurant,35.1159856,-106.5328720
Garduno's,35.1525227,-106.5855362
Crackin' Crab Seafood Boil,35.1405178,-106.5999520
Crackin' Crab Seafood Boil,35.2117265,-106.6986008
The Burrow Cafe,35.1160584,-106.4982364
Tako Ten,35.1162548,-106.4982423
Fuddruckers,35.1384807,-106.6021948
Michelle's Italian and Pizzeria,35.1171376,-106.5350777
Poki Poki Cevicheria,35.1233630,-106.5512394
Dave's High Desert Grill,35.1380445,-106.5313884
Slice Parlor NE Heights,35.1304036,-106.5301017
Padilla's Mexican Kitchen,35.1007116,-106.6126679
Fork and Fig,35.1087247,-106.5673404
Bangkok Bite,35.1085332,-106.5518021
My Moms,35.0892969,-106.6503815
Pop-Up Dumpling House,35.0751764,-106.5679071
LA Guelaguetza Mexicana,35.0710427,-106.6994030
Kukri Chicken,35.0850177,-106.6530643
Thicc Pizza Co,35.0850260,-106.6528915
Naruto Ramen,35.0850765,-106.6530526
Gimani,35.1011400,-106.5659974
Cheeba Hut,35.1087359,-106.5675989
,35.1460964,-106.6393911
,35.1327063,-106.6428836
Buffalo Wild Wings,35.1312127,-106.5489667
Amadeo's Pizza and Subs,35.0569647,-106.7419630
IHOP,35.1130205,-106.7010293
Chili's,35.1120250,-106.7014327
Cocina Azul,35.1313850,-106.5970259
Garduño's,35.1006491,-106.5655173
Tim's Place,35.1470691,-106.5504528
Whole Hog Café Albuquerque,35.1302371,-106.5312515
Chicago Pizza Kitchen,35.1294144,-106.5330582
Waffle House,35.0687878,-106.4992618
Golden Pride,35.0889297,-106.6229191
Red Robin,35.1419055,-106.5997011
Weck's,35.0783307,-106.5879114
Buca di Beppo,35.0998179,-106.5724496
Bravo,35.1029675,-106.5684123
Applebee's,35.1087467,-106.6132251
Black Angus,35.1073369,-106.5502902
Little Anita’s,35.0988585,-106.6702749
Raising Cane's,35.1305754,-106.5894253
Rudy's Texas Bar-B-Q,35.1072329,-106.6049651
Fuddruckers,35.0576114,-106.6216618
Applebee's,35.0588372,-106.6213295
Acapulco Tacos & Burritos,35.0675804,-106.5860723
Pappadeaux Seafood Kitchen,35.1413478,-106.5981850
Tomasita's ABQ,35.1402354,-106.5996880
Genghis Grill,35.1441653,-106.5932693
Mimi's Cafe,35.1433241,-106.5943321
Twin Peaks,35.1464948,-106.5913015
P.F. Chang's,35.1457439,-106.5916961
Cafe Da Lat,35.0777612,-106.5830711
Cafe Trang,35.0738307,-106.5679668
Village Inn,35.1489786,-106.5859062
Applebee's,35.1474303,-106.5857399
Denny's,35.1605568,-106.5856127
Cracker Barrel,35.1591669,-106.5858532
Furr's,35.1470903,-106.5878690
